"state","region","division","region_code","region_name"
"AR","South","West South Central","C05001","Arkansas County, AR"
"AR","South","West South Central","C05003","Ashley County, AR"
"AR","South","West South Central","C05005","Baxter County, AR"
"AR","South","West South Central","C05007","Benton County, AR"
"AR","South","West South Central","C05009","Boone County, AR"
"AR","South","West South Central","C05011","Bradley County, AR"
"AR","South","West South Central","C05013","Calhoun County, AR"
"AR","South","West South Central","C05015","Carroll County, AR"
"AR","South","West South Central","C05017","Chicot County, AR"
"AR","South","West South Central","C05019","Clark County, AR"
"AR","South","West South Central","C05021","Clay County, AR"
"AR","South","West South Central","C05023","Cleburne County, AR"
"AR","South","West South Central","C05025","Cleveland County, AR"
"AR","South","West South Central","C05027","Columbia County, AR"
"AR","South","West South Central","C05029","Conway County, AR"
"AR","South","West South Central","C05031","Craighead County, AR"
"AR","South","West South Central","C05033","Crawford County, AR"
"AR","South","West South Central","C05035","Crittenden County, AR"
"AR","South","West South Central","C05037","Cross County, AR"
"AR","South","West South Central","C05039","Dallas County, AR"
"AR","South","West South Central","C05041","Desha County, AR"
"AR","South","West South Central","C05043","Drew County, AR"
"AR","South","West South Central","C05045","Faulkner County, AR"
"AR","South","West South Central","C05047","Franklin County, AR"
"AR","South","West South Central","C05049","Fulton County, AR"
"AR","South","West South Central","C05051","Garland County, AR"
"AR","South","West South Central","C05053","Grant County, AR"
"AR","South","West South Central","C05055","Greene County, AR"
"AR","South","West South Central","C05057","Hempstead County, AR"
"AR","South","West South Central","C05059","Hot Spring County, AR"
"AR","South","West South Central","C05061","Howard County, AR"
"AR","South","West South Central","C05063","Independence County, AR"
"AR","South","West South Central","C05065","Izard County, AR"
"AR","South","West South Central","C05067","Jackson County, AR"
"AR","South","West South Central","C05069","Jefferson County, AR"
"AR","South","West South Central","C05071","Johnson County, AR"
"AR","South","West South Central","C05073","Lafayette County, AR"
"AR","South","West South Central","C05075","Lawrence County, AR"
"AR","South","West South Central","C05077","Lee County, AR"
"AR","South","West South Central","C05079","Lincoln County, AR"
"AR","South","West South Central","C05081","Little River County, AR"
"AR","South","West South Central","C05083","Logan County, AR"
"AR","South","West South Central","C05085","Lonoke County, AR"
"AR","South","West South Central","C05087","Madison County, AR"
"AR","South","West South Central","C05089","Marion County, AR"
"AR","South","West South Central","C05091","Miller County, AR"
"AR","South","West South Central","C05093","Mississippi County, AR"
"AR","South","West South Central","C05095","Monroe County, AR"
"AR","South","West South Central","C05097","Montgomery County, AR"
"AR","South","West South Central","C05099","Nevada County, AR"
"AR","South","West South Central","C05101","Newton County, AR"
"AR","South","West South Central","C05103","Ouachita County, AR"
"AR","South","West South Central","C05105","Perry County, AR"
"AR","South","West South Central","C05107","Phillips County, AR"
"AR","South","West South Central","C05109","Pike County, AR"
"AR","South","West South Central","C05111","Poinsett County, AR"
"AR","South","West South Central","C05113","Polk County, AR"
"AR","South","West South Central","C05115","Pope County, AR"
"AR","South","West South Central","C05117","Prairie County, AR"
"AR","South","West South Central","C05119","Pulaski County, AR"
"AR","South","West South Central","C05121","Randolph County, AR"
"AR","South","West South Central","C05125","Saline County, AR"
"AR","South","West South Central","C05127","Scott County, AR"
"AR","South","West South Central","C05129","Searcy County, AR"
"AR","South","West South Central","C05131","Sebastian County, AR"
"AR","South","West South Central","C05133","Sevier County, AR"
"AR","South","West South Central","C05135","Sharp County, AR"
"AR","South","West South Central","C05123","St. Francis County, AR"
"AR","South","West South Central","C05137","Stone County, AR"
"AR","South","West South Central","C05139","Union County, AR"
"AR","South","West South Central","C05141","Van Buren County, AR"
"AR","South","West South Central","C05143","Washington County, AR"
"AR","South","West South Central","C05145","White County, AR"
"AR","South","West South Central","C05147","Woodruff County, AR"
"AR","South","West South Central","C05149","Yell County, AR"
"CA","West","Pacific","C06001","Alameda County, CA"
"CA","West","Pacific","C06003","Alpine County, CA"
"CA","West","Pacific","C06005","Amador County, CA"
"CA","West","Pacific","C06007","Butte County, CA"
"CA","West","Pacific","C06009","Calaveras County, CA"
"CA","West","Pacific","C06011","Colusa County, CA"
"CA","West","Pacific","C06013","Contra Costa County, CA"
"CA","West","Pacific","C06015","Del Norte County, CA"
"CA","West","Pacific","C06017","El Dorado County, CA"
"CA","West","Pacific","C06019","Fresno County, CA"
"CA","West","Pacific","C06021","Glenn County, CA"
"CA","West","Pacific","C06023","Humboldt County, CA"
"CA","West","Pacific","C06025","Imperial County, CA"
"CA","West","Pacific","C06027","Inyo County, CA"
"CA","West","Pacific","C06029","Kern County, CA"
"CA","West","Pacific","C06031","Kings County, CA"
"CA","West","Pacific","C06033","Lake County, CA"
"CA","West","Pacific","C06035","Lassen County, CA"
"CA","West","Pacific","C06037","Los Angeles County, CA"
"CA","West","Pacific","C06039","Madera County, CA"
"CA","West","Pacific","C06041","Marin County, CA"
"CA","West","Pacific","C06043","Mariposa County, CA"
"CA","West","Pacific","C06045","Mendocino County, CA"
"CA","West","Pacific","C06047","Merced County, CA"
"CA","West","Pacific","C06049","Modoc County, CA"
"CA","West","Pacific","C06051","Mono County, CA"
"CA","West","Pacific","C06053","Monterey County, CA"
"CA","West","Pacific","C06055","Napa County, CA"
"CA","West","Pacific","C06057","Nevada County, CA"
"CA","West","Pacific","C06059","Orange County, CA"
"CA","West","Pacific","C06061","Placer County, CA"
"CA","West","Pacific","C06063","Plumas County, CA"
"CA","West","Pacific","C06065","Riverside County, CA"
"CA","West","Pacific","C06067","Sacramento County, CA"
"CA","West","Pacific","C06069","San Benito County, CA"
"CA","West","Pacific","C06071","San Bernardino County, CA"
"CA","West","Pacific","C06073","San Diego County, CA"
"CA","West","Pacific","C06075","San Francisco County, CA"
"CA","West","Pacific","C06077","San Joaquin County, CA"
"CA","West","Pacific","C06079","San Luis Obispo County, CA"
"CA","West","Pacific","C06081","San Mateo County, CA"
"CA","West","Pacific","C06083","Santa Barbara County, CA"
"CA","West","Pacific","C06085","Santa Clara County, CA"
"CA","West","Pacific","C06087","Santa Cruz County, CA"
"CA","West","Pacific","C06089","Shasta County, CA"
"CA","West","Pacific","C06091","Sierra County, CA"
"CA","West","Pacific","C06093","Siskiyou County, CA"
"CA","West","Pacific","C06095","Solano County, CA"
"CA","West","Pacific","C06097","Sonoma County, CA"
"CA","West","Pacific","C06099","Stanislaus County, CA"
"CA","West","Pacific","C06101","Sutter County, CA"
"CA","West","Pacific","C06103","Tehama County, CA"
"CA","West","Pacific","C06105","Trinity County, CA"
"CA","West","Pacific","C06107","Tulare County, CA"
"CA","West","Pacific","C06109","Tuolumne County, CA"
"CA","West","Pacific","C06111","Ventura County, CA"
"CA","West","Pacific","C06113","Yolo County, CA"
"CA","West","Pacific","C06115","Yuba County, CA"
"CO","West","Mountain","C08001","Adams County, CO"
"CO","West","Mountain","C08003","Alamosa County, CO"
"CO","West","Mountain","C08005","Arapahoe County, CO"
"CO","West","Mountain","C08007","Archuleta County, CO"
"CO","West","Mountain","C08009","Baca County, CO"
"CO","West","Mountain","C08011","Bent County, CO"
"CO","West","Mountain","C08013","Boulder County, CO"
"CO","West","Mountain","C08015","Chaffee County, CO"
"CO","West","Mountain","C08017","Cheyenne County, CO"
"CO","West","Mountain","C08019","Clear Creek County, CO"
"CO","West","Mountain","C08021","Conejos County, CO"
"CO","West","Mountain","C08023","Costilla County, CO"
"CO","West","Mountain","C08025","Crowley County, CO"
"CO","West","Mountain","C08027","Custer County, CO"
"CO","West","Mountain","C08029","Delta County, CO"
